Tamanho Hairpin sem Loop,Entropia_HP_S_Loop,HP_S_Loop_state_change,GC_Inicial_Hairpin
0.2791,0.5043,0.3438,0.6667
0.2791,0.5043,0.3438,0
0.2791,0.5043,0.4688,0.0833
0.2791,0.5043,0.4688,0.25
0.2791,0.5043,0.4062,0.4167
0.2791,0.5043,0.4688,0.5833
0.2791,0.5043,0.4688,0.4167
0.2791,0.002,0.3438,0.75
0.2791,0.002,0.2812,0.75
0.2791,0.5043,0.4688,0.6667
0.2791,0.5043,0.4688,0.5
0.2791,0.5043,0.4688,0.1667
0.2791,0.5043,0.4688,0
0.2791,0.5043,0.4688,0.3333
0.2791,0.002,0.4688,0.75
0.2791,0.002,0.4062,0.75
0.2791,0.002,0.0312,0
0.2791,0.002,0.0938,0
0.2791,0.9911,0.4062,0.3333
0.2791,0.9911,0.4688,0.25
0.2791,0.9911,0.3438,0.4167
0.2791,0.9911,0.4062,0.4167
0.2791,0.9911,0.4688,0.3333
0.2791,0.9185,0.4688,0.4167
0.2791,0.9185,0.4062,0.5
0.2791,0.9185,0.4688,0.5
0.2791,0.7647,0.4688,0.5833
0.2791,0.002,0.1562,0
0.2791,0.002,0.2188,0
0.2791,0.9911,0.4688,0.4167
0.2791,0.002,0.2812,0
0.2791,0.002,0.3438,0
0.2791,0.002,0.4062,0
0.2791,0.002,0.4688,0
0.3256,0.002,0,0
0.3256,0.4701,0.0312,0.0833
0.3256,0.4701,0.0312,0
0.3256,0.4701,0.0938,0
0.3256,0.7225,0.0312,0.1667
0.3256,0.7225,0.0312,0
0.3256,0.7225,0.0938,0
0.3256,0.7225,0.2188,0
0.3256,0.7225,0.0938,0.0833
0.3256,0.7225,0.1562,0.0833
0.3256,0.7225,0.1562,0
0.3256,0.8815,0.0312,0.25
0.3256,0.8815,0.0312,0
0.3256,0.8815,0.1562,0
0.3256,0.8815,0.1562,0.0833
0.3256,0.8815,0.2188,0
0.3256,0.8815,0.3438,0
0.3256,0.8815,0.2812,0
0.3256,0.8815,0.0938,0
0.3256,0.8815,0.2188,0.0833
0.3256,0.8815,0.2812,0.0833
0.3256,0.8815,0.0938,0.0833
0.3256,0.8815,0.1562,0.1667
0.3256,0.8815,0.0938,0.1667
0.3256,0.9711,0.0312,0.3333
0.3256,0.9711,0.0312,0
0.3256,0.9711,0.2812,0
0.3256,0.9711,0.2812,0.0833
0.3256,0.9711,0.1562,0
0.3256,0.9711,0.2188,0
0.3256,0.9711,0.3438,0.0833
0.3256,0.9711,0.3438,0
0.3256,0.9711,0.4062,0
0.3256,0.9711,0.1562,0.0833
0.3256,0.9711,0.2188,0.1667
0.3256,0.9711,0.4062,0.0833
0.3256,0.9711,0.2812,0.1667
0.3256,0.9711,0.2188,0.0833
0.3256,0.9711,0.1562,0.1667
0.3256,0.9711,0.4688,0
0.3256,0.9711,0.0938,0.0833
0.3256,0.9711,0.1562,0.25
0.3256,0.9711,0.0938,0.25
